GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US01473,1473,"ZIP 01473 (Westminster, MA)",0,Total for all sectors,2013,149,1445,15189,66355
8610000US01474,1474,"ZIP 01474 (West Townsend, MA)",0,Total for all sectors,2013,23,97,717,3309
8610000US01475,1475,"ZIP 01475 (Winchendon, MA)",0,Total for all sectors,2013,148,1151,7611,32011
8610000US01477,1477,"ZIP 01477 (Winchendon Springs, MA)",0,Total for all sectors,2013,2,a,D,D
8610000US01501,1501,"ZIP 01501 (Auburn, MA)",0,Total for all sectors,2013,607,10609,100921,435055
8610000US01503,1503,"ZIP 01503 (Berlin, MA)",0,Total for all sectors,2013,80,338,2731,13277
8610000US01504,1504,"ZIP 01504 (Blackstone, MA)",0,Total for all sectors,2013,128,725,5704,24893
8610000US01505,1505,"ZIP 01505 (Boylston, MA)",0,Total for all sectors,2013,125,1253,13654,59489
8610000US01506,1506,"ZIP 01506 (Brookfield, MA)",0,Total for all sectors,2013,43,261,1273,6008
8610000US01507,1507,"ZIP 01507 (Charlton, MA)",0,Total for all sectors,2013,227,2656,26354,110954
8610000US01508,1508,"ZIP 01508 (Charlton City, MA)",0,Total for all sectors,2013,23,371,1477,7509
8610000US01509,1509,"ZIP 01509 (Charlton Depot, MA)",0,Total for all sectors,2013,4,14,146,860
8610000US01510,1510,"ZIP 01510 (Clinton, MA)",0,Total for all sectors,2013,261,3567,36609,153713
8610000US01515,1515,"ZIP 01515 (East Brookfield, MA)",0,Total for all sectors,2013,43,e,D,D
8610000US01516,1516,"ZIP 01516 (Douglas, MA)",0,Total for all sectors,2013,120,684,6145,27465
8610000US01518,1518,"ZIP 01518 (Fiskdale, MA)",0,Total for all sectors,2013,57,470,4519,17794
8610000US01519,1519,"ZIP 01519 (Grafton, MA)",0,Total for all sectors,2013,89,g,D,D
8610000US01520,1520,"ZIP 01520 (Holden, MA)",0,Total for all sectors,2013,270,2757,23684,106501
8610000US01521,1521,"ZIP 01521 (Holland, MA)",0,Total for all sectors,2013,22,75,533,2215
8610000US01522,1522,"ZIP 01522 (Jefferson, MA)",0,Total for all sectors,2013,32,92,559,3164
8610000US01523,1523,"ZIP 01523 (Lancaster, MA)",0,Total for all sectors,2013,119,1869,20093,79592
8610000US01524,1524,"ZIP 01524 (Leicester, MA)",0,Total for all sectors,2013,103,1312,8112,33208
8610000US01525,1525,"ZIP 01525 (Linwood, MA)",0,Total for all sectors,2013,23,214,2012,8612
8610000US01526,1526,"ZIP 01526 (Manchaug, MA)",0,Total for all sectors,2013,9,46,391,1630
8610000US01527,1527,"ZIP 01527 (Millbury, MA)",0,Total for all sectors,2013,288,4558,36412,155171
8610000US01529,1529,"ZIP 01529 (Millville, MA)",0,Total for all sectors,2013,32,88,554,2435
8610000US01531,1531,"ZIP 01531 (New Braintree, MA)",0,Total for all sectors,2013,16,b,138,1005
8610000US01532,1532,"ZIP 01532 (Northborough, MA)",0,Total for all sectors,2013,492,7712,79762,330475
8610000US01534,1534,"ZIP 01534 (Northbridge, MA)",0,Total for all sectors,2013,55,765,6387,26209
8610000US01535,1535,"ZIP 01535 (North Brookfield, MA)",0,Total for all sectors,2013,71,760,6740,28683
8610000US01536,1536,"ZIP 01536 (North Grafton, MA)",0,Total for all sectors,2013,140,1878,28188,113644
8610000US01537,1537,"ZIP 01537 (North Oxford, MA)",0,Total for all sectors,2013,62,762,7033,30512
8610000US01538,1538,"ZIP 01538 (North Uxbridge, MA)",0,Total for all sectors,2013,15,c,D,D
8610000US01540,1540,"ZIP 01540 (Oxford, MA)",0,Total for all sectors,2013,217,3753,45399,186787
8610000US01541,1541,"ZIP 01541 (Princeton, MA)",0,Total for all sectors,2013,70,956,4184,17435
8610000US01542,1542,"ZIP 01542 (Rochdale, MA)",0,Total for all sectors,2013,32,417,4661,17032
8610000US01543,1543,"ZIP 01543 (Rutland, MA)",0,Total for all sectors,2013,116,860,6397,29175
8610000US01545,1545,"ZIP 01545 (Shrewsbury, MA)",0,Total for all sectors,2013,783,10460,104503,438637
8610000US01546,1546,"ZIP 01546 (Shrewsbury, MA)",0,Total for all sectors,2013,1,a,D,D
8610000US01550,1550,"ZIP 01550 (Southbridge, MA)",0,Total for all sectors,2013,341,4960,47860,194724
8610000US01560,1560,"ZIP 01560 (South Grafton, MA)",0,Total for all sectors,2013,64,301,3182,13715
8610000US01561,1561,"ZIP 01561 (South Lancaster, MA)",0,Total for all sectors,2013,28,577,5774,22264
8610000US01562,1562,"ZIP 01562 (Spencer, MA)",0,Total for all sectors,2013,216,2693,27171,112712
8610000US01564,1564,"ZIP 01564 (Sterling, MA)",0,Total for all sectors,2013,192,2273,21183,86415
8610000US01566,1566,"ZIP 01566 (Sturbridge, MA)",0,Total for all sectors,2013,242,3530,23781,104179
8610000US01568,1568,"ZIP 01568 (Upton, MA)",0,Total for all sectors,2013,158,697,6127,29536
8610000US01569,1569,"ZIP 01569 (Uxbridge, MA)",0,Total for all sectors,2013,267,3189,28858,131825
8610000US01570,1570,"ZIP 01570 (Webster, MA)",0,Total for all sectors,2013,366,6053,62597,240200
8610000US01571,1571,"ZIP 01571 (Dudley, MA)",0,Total for all sectors,2013,157,2367,22182,87132
8610000US01581,1581,"ZIP 01581 (Westborough, MA)",0,Total for all sectors,2013,935,23368,373939,1459265
8610000US01583,1583,"ZIP 01583 (West Boylston, MA)",0,Total for all sectors,2013,234,2510,22619,95892
8610000US01585,1585,"ZIP 01585 (West Brookfield, MA)",0,Total for all sectors,2013,88,760,6715,27599
8610000US01588,1588,"ZIP 01588 (Whitinsville, MA)",0,Total for all sectors,2013,203,2817,25481,102833
8610000US01590,1590,"ZIP 01590 (Sutton, MA)",0,Total for all sectors,2013,144,1930,17633,78074
8610000US01601,1601,"ZIP 01601 (Worcester, MA)",0,Total for all sectors,2013,8,253,2356,9929
8610000US01602,1602,"ZIP 01602 (Worcester, MA)",0,Total for all sectors,2013,290,2545,19053,78100
8610000US01603,1603,"ZIP 01603 (Worcester, MA)",0,Total for all sectors,2013,382,6413,57742,230917
8610000US01604,1604,"ZIP 01604 (Worcester, MA)",0,Total for all sectors,2013,729,16118,202155,852833
8610000US01605,1605,"ZIP 01605 (Worcester, MA)",0,Total for all sectors,2013,571,20715,285101,1178934
8610000US01606,1606,"ZIP 01606 (Worcester, MA)",0,Total for all sectors,2013,438,10258,114358,463282
8610000US01607,1607,"ZIP 01607 (Worcester, MA)",0,Total for all sectors,2013,143,2456,21385,94367
8610000US01608,1608,"ZIP 01608 (Worcester, MA)",0,Total for all sectors,2013,516,10330,149937,603072
8610000US01609,1609,"ZIP 01609 (Worcester, MA)",0,Total for all sectors,2013,502,9978,81062,347278
8610000US01610,1610,"ZIP 01610 (Worcester, MA)",0,Total for all sectors,2013,344,8887,70659,294853
8610000US01611,1611,"ZIP 01611 (Cherry Valley, MA)",0,Total for all sectors,2013,29,247,1649,7558
8610000US01612,1612,"ZIP 01612 (Paxton, MA)",0,Total for all sectors,2013,69,889,4736,21478
8610000US01613,1613,"ZIP 01613 (Worcester, MA)",0,Total for all sectors,2013,27,353,5678,21771
8610000US01614,1614,"ZIP 01614 (Worcester, MA)",0,Total for all sectors,2013,2,a,D,D
8610000US01615,1615,"ZIP 01615 (Worcester, MA)",0,Total for all sectors,2013,11,635,11860,38233
8610000US01653,1653,"ZIP 01653 (Worcester, MA)",0,Total for all sectors,2013,4,e,D,D
8610000US01655,1655,"ZIP 01655 (Worcester, MA)",0,Total for all sectors,2013,9,b,791,3052
8610000US01701,1701,"ZIP 01701 (Framingham, MA)",0,Total for all sectors,2013,1151,28557,483046,1945435
8610000US01702,1702,"ZIP 01702 (Framingham, MA)",0,Total for all sectors,2013,827,14048,220190,956822
8610000US01703,1703,"ZIP 01703 (Framingham, MA)",0,Total for all sectors,2013,6,17,170,785
8610000US01704,1704,"ZIP 01704 (Framingham, MA)",0,Total for all sectors,2013,3,a,102,398
8610000US01718,1718,"ZIP 01718 (Village of Nagog Woods, MA)",0,Total for all sectors,2013,2,a,D,D
8610000US01719,1719,"ZIP 01719 (Boxborough, MA)",0,Total for all sectors,2013,135,4430,122425,531412
8610000US01720,1720,"ZIP 01720 (Acton, MA)",0,Total for all sectors,2013,716,7889,102085,424194
8610000US01721,1721,"ZIP 01721 (Ashland, MA)",0,Total for all sectors,2013,385,4619,44669,186442
